Place,URL,Latitude,Longitude,Program,Number of Participants,
,,,,,,
"New Haven, CT",http://www.meetup.com/newhavenio/events/162361732/,41.31,-72.9236,Hacking,~10 so far,
Washington DC,http://dc.opendataday.org/,38.89778,-77.04394,"Workshops, Hacking",600,
"Berlin, Germany",http://de.opendataday.org/,52.517096,13.383275,"Workshops, Hacking",~50,
"Copenhagen, Denmark",http://dk.opendataday.org,55.676097,12.568337,"Workshops, Hacking",100,
Eindhoven,http://www.openeindhoven.nl,51.433333,5.466667,Pitches Apps for Eindhoven Challenge,20-30,
"Honolulu, HI",Can we get: hi.opendataday.org,21.3,-157.85,"Workshops, Hacking",50,
"Aizuwakamatsu, Japan",https://www.facebook.com/events/482694341840205/,37.495001,139.929701,,~20,
"Aomori, Japan",http://www.pref.aomori.lg.jp/sangyo/energy/iodd2014_aomori.html,40.784065,140.781173,Hackathon,,
"Chiba, Japan",http://peatix.com/event/29111,35.616,140.106529,"Ideathon, Hackathon",~50,
"Tokushima, Japan",http://fin.der.jp/tet5/,34.114007,134.589053,Hackathon,,
suzaka,http://fujisan223.net/odht,34.996039,138.44542,"Mapping, Hacking",,
"Futakotamagawa, Japan",http://peatix.com/event/27689,35.612274,139.628379,"Wikipedia Town,",~30,
"Fukui-Sabae-Echizen, Japan",http://www.city.sabae.fukui.jp/pageview.html?id=14507,35.959945,136.183578,"Seminar, Ideathon",~30,
"Saga, Japan",http://code4saga.org/archives/15,33.245425,130.302669,,,
"Tamba, Japan",https://www.facebook.com/events/1469081926646617/,35.141801,135.154639,,,
"Kanazawa, Japan",https://www.facebook.com/events/228036887380577/,36.571332,136.654744,"Seminar, Workshop",~30,
"Nagareyama, Japan",https://www.facebook.com/events/388140414655621/,35.877079,139.937826,Ideathon,,
Vienna,http://soda-odd2014.eventbrite.com,48.209206,16.372778,Vienna Government Minutes Analysis,20,
"Taipei, Taiwan",cft.kktix.cc/events/7efd3817,25.033493,121.5641,"Unconference, Hackathon, Salaon",~30,
"Taipei, Taiwan",http://g0v-tw.kktix.cc/events/g0v-hackath7n,25.043955,121.613073,Hackathon,~100,
"Tainan, Taiwan",http://finjonkiang.kktix.cc/events/g0v-hackath7n-tainan-nylon,22.994754,120.195047,Hackathon,~20,
"Puli, Taiwan",,23.966666,120.966666,Mapping for Senior Citizens,,
"Kaohsiung, Taiwan",,22.6612,120.3032,,,
"Edmonton, Canada",www.epl.ca/odd2014,53.5333,-113.5,Hackathon & Open Data Information Session,50+,
"Rome, Italy",http://opendataday.it,41.82844,12.47706,"hub initiative, keynotes, postit",~250,
"Salerno, Italy",http://www.dirittodiaccessocivico.it/,40.770906,14.79776,Open Data Day and Data Journalism University od Salerno,~200,
"Kitakyushu, Japan",http://www.human-media.or.jp/topics_detail.php?no=92,33.872776,130.795848,"Ideathon, Hackathon",~30,
"Kawasaki, Japan",https://www.facebook.com/events/450440878389353/,35.532478,139.702937,Workshop,~30,
"Asahikawa, Japan",http://asahikawa-oss.doorkeeper.jp/events/9022,43.77097,142.364785,Ideathon,~25,
"Kosai, Japan",http://connpass.com/event/4714/,34.717702,137.545324,Workshop,~40,
"Kyoto, Japan",https://www.facebook.com/events/1457413774480215/,35.025457,135.751147,Wikipedia+OpenStreetMap,~50,
"Osaka, Japan",http://www.innovation-osaka.jp/ja/events/3350,34.701992,135.491838,,,
"Gifu, Japan",https://www.facebook.com/events/677710685614274/,35.367672,136.641108,,~40,
"Yokohama, Japan",https://www.facebook.com/events/284858265001523/,35.448432,139.644769,,,
"Sapporo, Japan",http://codeforsapporo.doorkeeper.jp/events/8605,43.062711,141.354343,,~20,
"Maebashi, Japan","https://www.facebook.com/events/718782188165805/
",36.389934,139.071172,,~20,
"Nairobi, Kenya",http://opendataday.co.ke,-1.292066,36.821946,Hackathon,~70,
"Mombasa, Kenya",http://opendataday.co.ke,-4.043477,39.668206,Hackathon,~70,
"Kisumu, Kenya",http://opendataday.co.ke,-0.091702,34.767957,Hackathon,~70,
"Kampala, Uganda",http://opendatadaykampala.org/,0.29205,32.6173,"Ideathon, Data Hack",50 - 100,
