Place,URL,Latitude,Longitude,Program,Number of Participants,Organizers        
"Aarhus, Denmark",http://openculturedays.dk,56.1566766,10.2002202,Hacklab,,"Open Data Aarhus, IBM and Rethink17"
"Abuja, Nigeria ",https://sites.google.com/site/opendatadayabuja/2015,9.056537,7.4825025,Skill Share on Data Pipeline Tools,30,Connected Development [CODE]
"Accra, Ghana",http://codeforghana.org,5.668192,-0.167249,"Hackathon, Talk, Training",~20,Mobile Web Ghana
"Aizu, Japan",http://aizu.io/,37.524629,139.939076,Datathon and Hackathon,~30,CODE for AIZU
"Aomori, Japan",http://www.pref.aomori.lg.jp/sangyo/energy/IODD2015aomori.html,40.784143,140.781402,Data Hackathon,,"Aomori-pref., Aomori-Univ."
"Asuncion, Paraguay",http://www.hacklabasu.org/event/presentacion-de-osm-paraguay/?instance_id=109,-25.28443,-57.62063,Las distintas formas de contribuir a OSM Paraguay,sin limite,OSM Paraguay
"Asuncion, Paraguay",http://www.meetup.com/Datos-Abiertos-Paraguay,-25.279655,-57.6087641,"Award ceremony, Datathon, Conference",100,SENATICs +TEDIC. (OKF-Py) + HackHackersAsunción.
"Atlanta, GA, USA",https://nvite.com/CodeAcross/b1aa,33.75,84.39,Hackathon,80,Code for Atlanta
"Atlanta, Georgia",https://nvite.com/codeacross/e7c8,33.75211,-84.392383,CodeAcross,90,Code for Atlanta
"Atsugi, Japan",http://www.opencorporates.jp/,35.443048,139.362442,Ideathon,100,Open Corporates Japan
"Auckland, New Zealand",http://www.opendataday.org.nz/,,174.764797,"Unconference, Hackathon",~30,New Zealand Herald
"Babol , Mazandaran ,Iran",http://www.pydata.ir,36.561966,52.680098,Open Discussion,,Cup inc.
"Bandar Seri Begawan, Brunei",http://www.meetup.com/BruneiGeekMeet/events/220555943/,4.887343,114.897814,Open discussion and hackathon,no limit,
"Bandung, Indonesia",http://wiki.opendataday.org/Bandung2015,-6.910805,107.609822,"Keynotes, Panel DIscussions, Focus Grup DIscussions, App Competition
",250-400,"The City of Bandung Government, Code for Bandung, West Java Branch of Indonesian Bank"
