Place,URL,Latitude,Longitude,Program,Number of Participants,Organizers        ,
"Abuja, Nigeria",http://www.opendataparty.org,9.052274,7.482583,"Master Class on Spreadsheets (Excel, Google etc). Micro, Small and Medium Enterprise (MSME) Funds Data Sprint",30,Connected Development (CODE),
"Accra, Ghana",http://codeforghana.org,5.668192,-0.167249,Open Election Hackathon,30,Code for Ghana / Mobile Web Ghana,
"Addis Ababa, Ethiopia","http://okfneth.blogspot.com/, http://www.code4ethiopia.org",,,"The Theme of the event is “Raising open data awareness in the grass root community of Ethiopia.”.We will have a workshop to discuss on the following agendas.
•        Identifying the social, cultural and economic factors that affect open data program implementation in Ethiopia.
•        Identifying data sets that need priority for the country's development and that interest the general public.
•        Discuss on the appropriate open data awareness creation methodologies to be used in the Ethiopian context.  

",30,Open Knowled Ethiopia & Code4Ethiopia,
"Agira, Italia",https://www.facebook.com/International-Open-Data-Day-Agira-983900528356692/?fref=ts,37.6579422,14.5187501,"L'IIS Fortunato Fedele ha organizzato l'International Open Data Day di Agira. L'evento si terrà giorno 4 marzo alle ore 17 presso il nostro Istituto nell'ambito del Progetto ""A scuola di Open Coesione""",100,Il Fedeledreamteam dell'IIS Fortunato Fedele di Agira,
"Aix en Provence, France",,43.5229986,5.450769,"The Open Data Day at Yelloworking will take place as a barcamp in which participants propose workshops in which they will open or hack data. Several workshops are already planned for all technical levels: 
1. Yelloworking, a transparent coworking space, will open all its financial data and will ask participants to find best ways to visualize them for its website. 
2. Those more into open hardware and open source can join a workshop in which an Arduino board will be used to hack the coffee machine in order to open in real time data about the coffee consumption of the coworking space. This will provide an instant snapshot of the activity at Yelloworking.
3. The local collective, PourAix.fr (http://pouraix.fr/#opendata), will hold a workshop in which attendees will geolocalize all decisions in the city council's minutes. This transparency iniatiative will allow citizens to be accountable of the activity and the decisions of local officials. Concretely, participants will review minutes and find the location of each decision. ",~30,Open Knowledge France & Yelloworking,
"Aizuwakamastu city, Japan",,37.494761,139.92981,,,CODE for AIZU,
"Akure, Nigeria",opendata.com.ng/events,7.25256,5.9312,"Open Data for Civic Experience gathering,  Open Data for Agriculture App Demo and Data Analysis Hackathon ",50,Nigeria Open Data Party,
"Amagasaki city, Japan",,34.7522414,135.4151453,OpenStreetMap Mapping Party,20,Team Amap,
"Amman, Jordan",https://www.facebook.com/jordanopensource/,31.9716638,35.8327677,"-Open Data Workshops
-Hackathon
-Open Data Contribution",30,Jordan Open Source Association,
"Anchorage, Alaska, USA",http://www.meetup.com/Code-for-Anchorage/events/229074023/,61.6127,-149.9,Code for Anchorage CodeAcross 2016 Hackathon - Come celebrate Open Data Day and work on Civic Tech projects. ,15,Code for Anchorage http://codeforanchorage.org/,
"Ankara, Turkey",http://www.verigazeteciligi.com/,39.892822,32.875614,"talks,open data traning, workshop",20,Open Data and Data Journalism Association in Turkey ( School of Data Turkey),
"Aomori pref, Japan",,40.824308,140.739998,,,"Aomori chiiki data katsuyou consortium, Aomori pref.",
"Asunción, Paraguay",http://bit.ly/DatosQueHablanODD16,-25.2966809,-57.6681301,"Workshop, open data and data journalism",20,Girolabs,
"Athabasca, Alberta",Not available yet,54.7197,113.2856,"Visual mapping of oilsands environmental monitoring open data. We are faculty members in Science and Technology with interests in GIS, geography, the Athabasca River, and oilsands-derived pollution. Our aim is to increase awareness about the oilsands pollution of air, land and water. We plan on using open data provided by the various monitoring programs in the province.",3,"Athabasca University, Faculty of Science and Technology, Athabasca University",
"Atlanta, GA, USA",https://nvite.com/CodeAcross/b1aa,33.75,-84.39,Hackathon,80,Code for Atlanta,
"Aversa, Campania, Italy",http://www.ascuoladiopencoesione.it/lesson_3_form_event/20656/,40.98,14.21,ODD liceo Fermi and ISIS Conti for ASOC-Journalists and architects,,,
Bandung,http://ppid.bandung.go.id,,,Seminar and FGD Implementation of Open Data in Bandung City Government,100,Bandung City Government ,
"Bangalore, India",www.pacindia.org,12.7970258,77.6611644,"Obtain OpenGov data about Governance from website of the India Government; build pre-template database, analyse as per defined methodology, represent as visuals. Purpose: Engaging Citizens to build Transperancy and Accountability into Goverment systems, though capacity building, awarness, and technology integration. ",~20,PAC_OpenData_Initaitive partners (contact: vivek),
"Bangkok, Thailand",http://bit.ly/opendatadaybkk,13.7446308,100.5276096,"Forum, Barcamp",200,"Electronic Government Agency, Social Tech-Change Fusion",
"Barcelona, Spain",http://apps4citizens.org/,41.382768,2.154391,Open Inspiration Data Day,50/100,apps4citizens,
"Beirut, Lebanon",https://www.facebook.com/events/777540865685804/,33.888629,35.495479,,~20,Data Aurora,
"Belfast, Northern Ireland",http://belfast.theodi.org/2016/02/12/open-data-day-2016-belfast/,54.596511,-5.93024,"Unconference' style - open slots for contributors explaining what they're working on in open data, what their best ideas are, and how they want to contribute. General meet up and chat afterwards.",30,ODI Belfast (NICVA) - event in the Dark Horse in Belfast's Cathedral Quarter,
"Benin City, Nigeria",http://www.opendatatalk.org,6.323912,5.624666,Opendata Literacy workshop and Training: Theme- I Know Opendata,70+,OpendataTalk in partnership with ICT Agency.,
"Benin City, Nigeria",www.sabihub.com,6.33498606,5.60374605,"Brief overview of open data and how its values can be harnessed. 
Success stories on how open data is being used for economic development in other communities/countries
A walk through on available agriculture data
Call for volunteers to collaborate on an agriculture project to help farmers have access to relevant information to improve their yield and processes",50,SabiHub Open data community,
"Birmingham, UK",http://opendatawestmids.org.uk/,,,Transport data mapping workshop,20,"Open Mercia C/o Innovation Birmingham, Faraday Wharf, Holte St, Birmingham B7 4BB",
"Bogotá, Colombia",http://www.geocensos.com/p/blog-page_14.html,4.6768381,-74.049888,"GeoCensos Open Geo Data Camp: We will depart in vans from Parque de la 93 in a journey to Gwalandu and San Francisco Mountains Breaking the ice exercise, OSMand demonstration, Open Mappers Talks and mountain surveying tasks. Please confirm attendance to info arroba geocensos punto com",10-20 according to travel arrangements,Geocensos mesoamerican community,
"Bozen, Italy",https://www.eventbrite.com/e/registrazione-open-data-day-2016-21514228637,46.48245,11.33028,"Panel, Workshop",100,"TIS innovation park - IDM Südtirol Alto Adige - 19 Via Werner Von Siemens Bolzano, Trentino-Alto Adige",
"Bradford, UK",https://bit.ly/OpenGrantmaking ,53.8000031,-1.7542887,"one small step towards improving the process of grant-making, helping grant-makers and recipients use open data for better grant-making",30,@ekoner,
"Brasília, Brazil",http://wiki.opendataday.org/Bras%C3%ADlia_2016,-15.79521,-47.89392,Hack day,~30,,
"Brisbane, Australia",http://queensland.theodi.org/home/learning/events/,-27.462628,153.028394,"We’re celebrating Open Data Day by making things with, or about, open data. We have two projects planned but you’re welcome to propose others. ",50,Open Data Institute Queensland,
"Buenos Aires, Argentina",http://ar.okfn.org/,-34.6054,-58.388645,"Forum/ Barcamp NGOs, Government, legislators and CivicTech",200,Conocimiento Abierto Foundation and data community ,
"Cagliari, Italy",http://www.giuristitelematici.com/dettEditoriale.aspx?idDet=1894,39.2166667,9.1166667,Hackathon - 2016,,,
"Cairo, Egypt",http://cairo.opendataday.org,30.042575,31.236612,"A selection of activities including workshops, virtual hangouts and a hackathon on mobility datasets. Held in coordination and hosted by A2K4D",~70,Transport for Cairo (TfC),
"Calgary, Alberta",http://www.calgary.ca/hackathon,51.0486,-114.0708,Hackathon - 2016,150,City of Calgary and Calgary Regional Partnership,
"Campina Grande, PB, Brazil",https://pad.okfn.org/p/opendataday2016CampinaGrande,-7.222367,-35.873467,OpenDataDay - A citizen perspective about Open Data and its potencial to change our enviroment,,,
"Cape Town, South Africa",http://www.meetup.com/Code-for-South-Africa-Hackers/events/228852720/,-33.976559,18.466614,Open data easter egg hunt,~30,Code for South Africa,
"Cartagena, Colombia",http://www.tecnologicocomfenalco.edu.co,10.3910485,-75.4794257,Talks about Open Data. Workshop. Fabio Garcia Ramirez is the leader and organizer of this event in Tecnologico Comfenalco of Cartagena of Indias(Colombia),20,Tecnologico Comfenalco University -  Mg. Fabio Garcia Ramirez Organizer,
"Cava de' Tirreni, Italy",http://sites.google.com/site/asocgenoino/,40.701081,14.698551,"The event that we organized, ""Gli Open Data: perfetti (s)conosciuti"" takes place in our school, the ""Liceo Scientifico Statale A.Genoino"" of Cava de' Tirreni (Italy). Our target is to spread the concept of open data and to enrich the open data databases, in order to make useful information reachable and easily usable.",,,
"Cd. Obregón, Sonora, México",https://www.facebook.com/opendatacajeme ,27.52552,-109.934554,"Ideathon, Workshop",Sin Límite,"Municipio de Cajeme, Universidad La Salle Noroeste, Mawe Tecnologías",
"Charlottetown, PEI, Canada",https://www.eventbrite.ca/e/pei-open-data-hackathon-tickets-21554098890,46.233333,-63.15,Hackathon with Open Data,~40,"PEI Devs, Open Data PEI",
"Chiba city, Japan",,35.607267,140.106291,,,Open! Chiba,
"Chieti,italy",https://www.facebook.com/events/198623770497616/,,,"Il giorno 11 Marzo presso il nostro liceo si terrà l' Open data Day, in cui il team ""Openmasci"" illustrerà il percorso seguito nell'ambito del progetto "" A scuola di Opencoesione"" . Durante l'incontro interrverrano anche le autorità dell'amministrazione pubblica. Si parlerà degli opendata, della traspernza nell'amministrazione pubblica e del progetto di riqualificazione del centro della nostra città.",,,
"Ciudad Obregón, México",http://opendatacajeme.org ,27.52552,-109.934554,"Talks, Hackathon",10-70,Universidad LA SALLE Noroeste - H. AYUNATEMIENTO DE CAJEME - MAWE TECNOLOGÍAS,
"Cochabamba, Bolivia",https://opendataday.teclid.org,-17.4000431,-66.1657084,"mini talks about open data (licenses, data visualizations, urban mapping, researchs) and optional workshops",,,
"Colima, Colima, México",,19.2384332,-103.7301985,"Mini-talks, Build community local practice, Engaging citizens on the right of access to public information, Exploring local open data.
",Sin Límite,Tecnologías Libres para Innovación y Desarrollo AC; AppData,
"Cologne, Germany",http://codeforcologne.github.io/odd16_website/,50.9554784,6.9104529,OpenDataDay Hack & Talk,~30,OKLab Köln/Stadt Köln,
"Copenhagen, Denmark",https://www.facebook.com/events/550468481778919/,55.685603,12.570082,"*Common introduction to open data - 15-30 min + third world perspective 

3 rooms/sessions (60 mins) -
Privacy, OpenGLAM, Tools

*Common evaluation(what have we done (20 mins)

*“Open mic” (10 mins)",,"OpenKnowledge Denmark, Wikimedia Danmark, Digital Social Science Lab (DSSL). Venue will be DSSL, basement under the library for social sciences, Gothersgade 140, 1123 Copenhagen K",
"Dar es Salaam, Tanzania",https://www.facebook.com/events/179822419059015/,-6.774307,39.241417,"Mapathon, celebrating open data by mapping Dar es Salaam in OpenSteetMap",20-50,"Ramani Huria, Maptime Tanzania, OpenStreetMap Tanzania",
"Debrecen, Hungary",https://www.facebook.com/events/469395306583115/,47.528748,21.6211403,"
International Open Data Day - Brainstorm in Debrecen",30,"György Szabó, EDC Debrecen",
"DeKalb, IL",https://www.eventbrite.com/e/codeacross-dekalb-2016-registration-20588412496,41.9339599,-88.7664202,Open Civic Hack for the community,20-50,"Tech Bark, Student Organization and University Brigade with Code for America, in partnership with NIU STEM Outreach programing",
"Denton, TX, USA",https://www.eventbrite.com/e/denton-open-data-day-tickets-21502589825,33.2378005,-97.2855806,"Join us for a day of discovery, as we dig into Denton's rich data sets, with the hope that this information will assist us in providing greater tangible resources, such as more affordable housing, food, and transportation, for our community. ",,,
"Dhaka, Bangladesh ",,,,"OD Talk, Meetup, Workshop, Promotion, Encourage & arrange program at National Book Fair",50-100,Community of OKF Bangladesh ,
"Doha, Qatar",http://www.ticketfun.me/index/event?eid=999,25.2867,51.5333,"March 9th part of first open data day activities in Qatar. Hosted by Digital Incubation Center, Qatar Ministry of Transportation and Communication",,,
"Doha, Qatar",http://textontechs.com/2016/02/data-driven-coffee-in-qatar/,25.2867,51.5333,March 5th first open data day in Qatar - simply coffee meetup to start the conversation,,,
"Durban, South Africa",http://meetu.ps/2VDvmN,-29.8610115,30.9897969,Hackathon,30,Open Data Durban,
"Düsseldorf, Germany",http://codefordus.tumblr.com/post/139173905480/ok-lab-f%C3%BCr-einsteiger,51.225556,6.782778,Erstes Treffen des OKLab Düsseldorf,,OKLab Düsseldorf,
"Edajima city, Japan",,34.223002,132.443855,,,"Prefectural University of Hiroshima, Edajima city",
"Edmonton, Alberta, Canada",http://www.epl.ca/browse_program/open-data-day/,53.543202,-113.489606,Hackathon; Speed data-ing with municipal open data staff; workshops for beginners on tableau and open refine,50+,Edmonton Public Library and the City of Edmonton,
"Ehime pref., Japan",,33.841624,132.765681,,,,
"Eindhoven, Netherlands",http://www.meetup.com/Open-Eindhoven/events/228971338/,51.434642,5.476771,Introduction to the Living Data Game Challenge program,,,
"Essen, Germany",http://www.meetup.com/de-DE/OK-Lab-Niederrhein/events/228132182/,51.4590046,7.0074592,Open Data Day - OK Lab Niederrhein + Ruhrgebiet Treffen,20,Ok Lab Ruhr and OK Lab Niederrhein,
"Ferrara, Italy",http://www.itbacheletferrara.it/,44.75454,11.64267,ASOC- presentation-3L R.I.M.,,,
"Frankfurt am Main, Germany",www.meetup.com/OKLabFfm/events/227378964/,50.125388,8.70635,Hackathon,40,Code for Frankfurt/M,
"Freetown, Sierra Leone",,8.484,-13.22994,Data Festival,250+,"Right to Access Information Commission, World Bank",
"Freiburg im Breisgau, Germany",http://www.meetup.com/de-DE/Data-Science-Meetup-Freiburg/events/228915533/,47.994128,7.839848,"Workshop ""Open Data - Fritz""",,,
"Fuji city, Japan",,35.161399,138.676273,,,Shizuoka pref. Fuji city opendataday executive comittee,
"Fukui pref, Japan",,36.065178,136.221527,,,Code for Fukui,
"Galciana Town, Prato City, Tuscany, Italy",https://goo.gl/I1Mg7n,43.88801,11.05729,A crowdsourcing event to ask to everybody lives in our town in Galciana to map the town with Mapillary APP.,,Galciana Star,
"Georgetown, Guyana",http://blog.okfn.org/2016/03/17/open-data-day-guyana-bringing-open-street-map-to-the-classroom/,6.8252022,-58.1629783,"Workshop, hackathon dealing with open spatial data. All volunteer initiative. Engaging government agencies, private sector bodies and academic institutions to build awareness and advocate appropriately for opendata. This Open Data Day event will be focused on secondary school teachers and youths.",~40,GIS Collective,
"Gifu pref, Japan",http://www.girona.cat/sgdap,35.391227,136.722291,,,Code for GIFU,
"Girona, Spain",,41.987122,2.825009,Municipal City Archive of Girona will publish the datasets of the inventories and catalogues of fonds that they keep.,,,
"Granada, Spain",http://wiki.opendataday.org/Granada2016,37.18529,-3.60039,Open Data Hackathon,50,OSL (Free Software Office at Granada University) and OpenXXI,
"Greenville, SC, USA",http://www.meetup.com/Greenville-Data-Science-Analytics-Meetup/events/228334737/,34.8519296,-82.4021432,Hackathon,20,Greenville Data Science & Analytics Meetup,
"Guadalajara, Jalisco",https://www.facebook.com/events/781654551939579/,20.7196764,-103.3893566," Data-workshops with local government and civic society databases: R for data processing, data visualization tools. Mapping. How to create effective visualizations. Mini-talks.",,"Codeando Guadalajara, Zapopan Lab, Colectivo IJALTI, Jalisco Cómo Vamos, Observatorio Ciudadano de Calidad de Vida. With help of Codeando México, OKFN and ILDA.",
"Guatemala, Guatemala",http://www.redciudadana.org/OpenDataDay.html,14.627588,-90.537527,"Open Data Conference, Workshops and Promotion",no limit,Asociacion Civil Red Ciudadana,
"Hachioji city, Japan",,35.666339,139.315806,,,Code for Hachioji,
"Hakodate, Japan",,41.76905,140.728826,Talkshow,30,"Code for Hakodate, HOWML/Code for Mori",
"Hamburg, Germany",http://www.meetup.com/de-DE/CodeforHamburg/events/228749964/,53.5476165,9.9800385,"Talks, Workshop & Training, Hackathon",30,Code for Hamburg,
"Hannover, Germany",http://wiki.opendataday.org/Hannover2016,52.3982128,9.7705562,Hackathon,30,Zühlke Hannover; Nicolaj Kirchhof; Nils Weinzierl,
"Hanoi, Vietnam",https://www.facebook.com/events/1021866187885383/,21.0227732,105.801944,Discussing about OpenData related topics (3-4 invited speakers already); translating OpenData Handbook into Vietnamese (almost done); hacking on CKAN GUI into Vietnamese...,50,OpenData Vietnam community & VFOSSA,
"Heilbronn, Germany",http://www.meetup.com/codeforhn/events/228425533/,49.138997,9.22043,Hackathon,20,"Code For Heilbronn, Coworking Space Heilbronn",
"Helsinki, Finland",https://www.facebook.com/events/548681085292868/,60.171343,24.934434,"Developers of new democracy enhancing tools and technologies are invited to present their projects on Friday 4th of March at the Parliament of Finland. The event is organized by Open Knowledge Finland, Transparency International Finland, The Parliament of Finland, The City of Helsinki and others.

Projects will be posted on the Democracy Hack 2016 hackdash page: https://hackdash.org/dashboards/demcrcyhck",30,"@okffi, @dcentproject, @EdariFi, @joonaspekkanen",
"Hiroshima city, Japan",,34.385203,132.455293,,,Code for Hiroshima,
"Hong Kong, Hong Kong",https://www.facebook.com/events/806570022782598/,22.28790474,114.1487246,"Hackathon, Group Discussion",20,"@sammyfung, @vincicat",
"Honolulu, Hawaii, USA",http://unconferenz.com,21.3027778,-157.8538889,"unconference, hackathon, talks, #CodeAcross, Code For Hawaii, Code for America",200,codeforhawaii.org,
"Ibaraki pref, Japan",,36.341811,140.446794,,,Code for Ibaraki,
"Ichinomiya city, Japan",,35.30389,136.802933,,,Ichinomiya-wo-genki-ni-suru-kai,
"IIS Castigliano, Asti, Italy",https://www.facebook.com/events/434239196774993/,44.900.878,8.203.345,"Open data Day with students and teachers of ""A scuola di OpenCoesione"" and journalist from ASTI",50,"IIS ""A. Castigliano"" - ASTI",
"IISS ""G. T. Giordani"", Monte Sant'Angelo, FG, Italy ",https://www.facebook.com/Underground-725151877629580/?ref=br_rs,41.70463,,,,,
"Ikoma city, Japan",,34.69196,135.700536,,,CODE for IKOMA,
"Ina city, japan",https://www.facebook.com/events/209931806024759/,35.827481,137.95408,,,Wikipedia TOWN in INA Vallery,
"Inagi city, Japan",https://www.facebook.com/events/178192145892889/,35.637924,139.504567,,,,
"Incheon, South Korea",http://codeforincheon.org,37.381612,126.653482,Workshop and Ideathon,,,
"Ishikawa pref, Japan",,36.594682,136.625573,,,Code for Kanazawa,
"Italia,Cerignola",http://www.itisrighi.fg.it,41.25802,15.915492,LEGALITA’ 2.0 –PER UNA COMUNITA’ ATTIVA,,,
"Iwaki city, Japan",,37.05042,140.887682,,,Code for Iwaki,
"Iwaki city, Japan",,37.0550406,140.8881674,mappingparty,<20,code for Iwaki(仮),
