country,event_date,event_name,event_photo_url,event_purpose,event_report_url,event_time,event_tweet_url,event_video_url,has_event_report,latitude,longitude,mini_grant_funder,mini_grant_winner,num_participants,online,online_event_url,organisers,place,report_question_1,report_question_2,report_question_3,report_question_4,slug,timezone,url,world_region_code,world_region_text
Taiwan,2021-03-06,Asia Open Data Portal - Data Application Workshop,,"Introduce Asia Open Data Portal and cross-countries datasets to the public, and encourage more data application",https://www.businesswire.com/news/home/20210310006082/en/Asia-Launches-First-Official-Open-Data-Portal-at-Open-Data-Day-2021,10:00,,https://www.youtube.com/watch?v=l7l_e04Kg64,False,25.032969,121.565414,,False,50,True,https://seminars.tca.org.tw/D15s00033.aspx,Asia Open Data Partnership (AODP),Taipei,,,,,asia-open-data-portal-data-application-workshop,CST,https://dataportal.asia/home,APAC,Asia & The Pacific
Madagascar,2021-03-06,Data for SDGs Session,/images/2021/data-for-sdgs-session,Knowledge sharing about data for development and in the attainment of the Sustainable Development Goals,/events/2021/reports/data-for-sdgs-session/,,https://twitter.com/assomaidi/status/1368153518796906502,,True,-18.648327,48.302951,FCDO,True,30,False,,Madagascar Initiatives for Digital Innovation,Antananarivo,"Since the celebration of Open Data Day started in the beginning of the week, the last day of celebrating Open Data Day was a special session about case study exchange and group work on using data for solving public issues.

The data collaboratives practices had enabled participants from different background within Government institutions and journalists to understand the value of data even those they have considered ""meaningless"" in the beginning. Together, we were able to create a fictional but potential ""SMS Disease Surveillance"" system that can be used to monitor Covid19 outbreak in Madagascar if some data from private company would be available.

The possibility of developing a mobile app for better Covid-19 logistic management was also presented after group discussion.","We learned that partnerships with government and the private sector can be useful but need some incentive measures (fiscal, for example) from local authorities to publish data. The level of data institutional response that should exist in a country requires more than data analytic skills.",It's a valuable opportunity to exchange the importance of open data for development.,,data-for-sdgs-session,EAT,https://www.association-maidi.mg,EMEA,"Europe, Middle East & Africa"
Tanzania,2021-03-06,Data journalism for accountability,/images/2021/data-journalism-for-accountability,Reaching more journalism practitioners and university students pursuing data journalism ,/events/2021/reports/data-journalism-for-accountability/,,https://twitter.com/NuktaAfrica/status/1368158530927271936,,True,-11.982008,37.078224,Microsoft,True,13,False,,"Tulinagwe Malopa, Nukta Africa",Dar es Salaam,"Our event celebrated open data by conducting a free physical data journalism training to 10 journalism and mass communication students from different universities in Dar es Salaam to maximise the use of open data and increase accountability through data journalism. 

The eight-hour training trained the students the basics in data journalism by explaining in detail the concept of open data, how to scrap and clean data to create open data, laws regulating data journalism in Tanzania, data analysis, data visualisation and how to develop data-driven stories from open data for radio, TV, newspapers and online platforms. 

The training was a unique opportunity to the students since they got a chance to learn and practise new skills that can make them competitive in the current job market after finishing their studies.

Conducting such training with students was a stepping stone to creating better journalists who can add value in their reporting and producing content that can impact lives in future.
","One of the foremost lessons learnt from the students is that data journalism is not taught completely in colleges or universities offering journalism or mass communication courses in Tanzania. Nearly all the lessons were new to the students and they acknowledged that the opportunity gave them exposure and the skills were key in building their careers after school.

At Nukta Africa we learnt that there are useful open data dashboards by the government and other stakeholders which are not commonly used and known to most people. Also, former famous open data dashboards like opendata.go.tz are no longer available to the public. Therefore, conducting these training makes people aware and informed on data that could help them in business, reporting and decision making.

Furthermore, emphasis on maximising the use of open data in the community through data journalism is one the best way to utilise the resources available. Open data dashboards may not yield expected results if journalists cannot use the data to find stories relevant to their community. Data-driven stories with contexts from ground reporting has proved to be more effective in increasing transparency and by accounting people in power. ","We love Open Data Day because, as data experts or data journalists, we get an opportunity to celebrate and push for the greater use of open data in our community in creating impactful stories or insights that will help people make informed decisions.",,data-journalism-for-accountability,EAT,https://drive.google.com/uc?export=view&id=15cQBKnNF_obcDnNZC4QgSrUUEM1RPbR0,EMEA,"Europe, Middle East & Africa"
Honduras,2021-03-06,Datos abiertos en infraestructura,/images/2021/datos-abiertos-en-infraestructura,To present how we can promote help to promote sustainable infrastructure by analysing open data,/events/2021/reports/datos-abiertos-en-infraestructura/,10:00,https://twitter.com/CostHonduras/status/1369321430983319556?s=20,https://www.youtube.com/watch?v=o1trW3qj3IU,True,14.0818,-87.20681,Microsoft,True,40,True,https://www.facebook.com/events/261585845513276/,CoST Honduras,Tegucigalpa,"CoST Honduras prepared an online-event to show how open data can help to plan and deliver better quality and more efficient infrastructure for millions. We had 58 people participating in the event, including civil society representatives, university students, and the CoST Honduras technical team. At the beginning of the event, CoST's LATAM Regional Manager welcomed the attendees and made a brief introduction about Open Data Day and why it is important for CoST.

We then had the participation of CoST's Head of Members and Affiliates, who presented the advances in the use of open data that CoST programs are achieving worldwide. One of the examples she presented was the Transparent Infrastructure Open Data Portal, a tool designed and developed by the CoST Ukraine program to analyze more than 7000 public infrastructure contracts. The analytical report is available at [https://portal.costukraine.org/graph.html](https://portal.costukraine.org/graph.html). The third participation was from one of CoST Honduras' project managers who presented the programme's effort to design and develop a data analysis tool named InfraS. This tool aims to measure indicators built from public infrastructure data, identify red flags and issues, and present recommendations to the correspondent authorities on how they can fix those issues to achieve sustainable infrastructure.

The next part of the event was a more interactive session where the participants, divided into four groups, were able to talk to CoST's experts and answer some questions aimed at identifying potentially user data needs for the InfraS tool.","We learned that the feedback from active citizens could benefit the ways the government discloses information, especially when, in most cases, data from local governments is not easy to access. Moreover, we learned that these kinds of events help us get feedback about citizen's data needs which is a valuable input for the design and development of the analytics dashboards.",It is a space that allows us to connect with people from all over the world and learn from their experiences using open data and creating solutions for global problems.,,datos-abiertos-en-infraestructura,CST,https://costhonduras.hn/,AMER,The Americas
Mexico,2021-03-04,Datos y Mezcales (virtuales) – Open Data Day 2021,,Share new open data and use projects in Mexico,https://socialtic.org/blog/resumen-del-datosymezcales-en-el-opendataday-2021/,16:00,https://twitter.com/socialtic/status/1367597207801581568,https://www.youtube.com/watch?v=hSdr-yauQ_k,False,19.4316274,-99.1349773,,False,50,True,https://socialtic.org/events/datos-y-mezcales-virtuales-open-data-day-2021/,SocialTIC,Mexico City,,,,,datos-y-mezcales-virtuales-open-data-day-2021,CST,https://socialtic.org/,AMER,The Americas
Switzerland,2021-03-01,Geo.Hackmin Week Switzerland,,Dive into newly relicensed and released geo-datasets during a week of virtual activities open to everyone,https://medium.com/inside-urban-tech/geo-hackmin-to-open-data-88fc3593c982,16:00,https://twitter.com/cividitech/status/1366443803398266882,,False,46.798449,8.231879,,False,50,True,https://live.cividi.space/,Viktoria Molnar,Bern,,,,,geo-hackmin-week-switzerland,CET,https://cividi.ch/geohackmin-en/,EMEA,"Europe, Middle East & Africa"
Ghana,2021-03-06,Leveraging data on abuse of female journalists to promote equal development within the digital ecosystem in Africa.,/images/2021/leveraging-data-on-abuse-of-female-journalists-to-promote-equal-development-with,"Demonstrate how equal development within the digital ecosystem in Africa can be improved by leveraging data on online abuse and harassment of female journalists. 

Topic: iWatch Africa's Open Data Day Time: Mar 6, 2021 01:30 PM Africa/Accra Join Zoom Meeting https://us02web.zoom.us/j/84690135074?pwd=aG9nWS9qY0tTb2RURVhGeTQ3V3N3Zz09 Meeting ID: 846 9013 5074 Passcode: 360327",/events/2021/reports/leveraging-data-on-abuse-of-female-journalists-to-promote-equal-development-with/,13:30,https://twitter.com/iwatchafrica/status/1366302475918131201,https://www.youtube.com/watch?v=s2u-Lj1hN94,True,5.6037,0.187,FCDO,True,200,True,https://us02web.zoom.us/j/84690135074?pwd=aG9nWS9qY0tTb2RURVhGeTQ3V3N3Zz09,iWatch Africa,Accra,"iWatch Africa, marked the 2021 Open Data Day last Saturday with virtual event with focused on leveraging data to promote women safety within the digital ecosystem in Africa.

The theme for the event was, ‘Leveraging data on abuse of female journalists in Ghana to promote equal development within the digital ecosystem in Africa,’ and was joined by over 40 participants across the continent.

Co-founder of iWatch Africa, Moro Seidu delivered a presentation with focus on the current data on abuse of women journalists in Ghana. Moro stressed that “although the introduction of social media has enhanced communication and participation on social media platforms, it has not been friendly on the female gender.”

Moro cited iWatch Africa 2020 data which showed that while the number of male journalists monitored were three times more than their female counterparts, 46 per cent of the total number of online abuses recorded by iWatch Africa were directed at women journalists in Ghana.

Second speaker, Nashilongo Gervaslus blamed the patriarchal upbringing in many homes across the continent for the sort of accountability which treats women with a different sort of lens and opens them up to abuse. She recommended that governments across the continent introduce cyber-crime legislation to protect women online.

Our final speaker Sheilah Birgen, also stressed the need for newsrooms to provide support for female journalists and protect them against online misogyinistic mobs. Sheilah also argued that, “the stigma relating to these abuses deters some women from speaking about it.”

The event ended with a resolution led by Gideon Sarpong, to work on mainstreaming digital rights units in 50 newsrooms in West Africa to mitigate the risks that online harassment of women journalists poses to the press freedom and equal development within the digital ecosystem in Africa.",More work need to be done to gather data on abuse of women journalists online across Africa.,It helps deepen transparency and accountability in Africa.,,leveraging-data-on-abuse-of-female-journalists-to-promote-equal-development-with,GMT,,EMEA,"Europe, Middle East & Africa"
Pakistan,2021-03-06,Mapping Pakistan's billion tree tsunami,/images/2021/mapping-pakistan-s-billion-tree-tsunami,A hack day to open and publish the block coordinates of the plantation conducted during the billion tree tsunami in Pakistan,/events/2021/reports/mapping-pakistan-s-billion-tree-tsunami/,10:00,https://twitter.com/CodeforPakistan/status/1368133934777851906,,True,33.684422,73.047882,Microsoft,True,10,False,,Code for Pakistan,Islamabad,"At Code for Pakistan, we gathered 10 volunteers to clean and publish data related to the billion trees afforestation project (Phase II). We chose this project as it has been one of the biggest projects initiated by the current government to overcome climate change but at the same time had been under scrutiny due to corruption allegations. 

The event started with the team evaluating the available data in the monitoring report published by WWF (third party). After understanding the datasets and their correlations, the team came up with a plan to share a consolidated dataset containing the location data of nurseries and the total number of tree saplings sown in the area. With this subset of data, the team was only able to map around 12.6% of the total trees planted (1 billion) as the rest of the information (number of plantation) was not published in the report. The motivation behind working on this subset of data was to publish something meaningful for the developers as well as plotting the available data on a map to make it understandable for the public. 

The team was divided into three parts. The first team was responsible for segregating and cleaning the datasets, the second team combined the data from different tables, processed it, and converted it into a machine-readable format and the third team worked on a public-facing dashboard where these coordinates were to be mapped.

At the end of the event, the team was able to publish the dataset (https://www.kaggle.com/aliirz/billion-tree-tsunami) as well as the map of all the coordinates through ArcGIS (https://arcg.is/1jmbjm). This proof of concept will now be shared with relevant government agencies working on the climate and environment to open further datasets that can make this initiative more transparent and accountable.","Play smart: To get started with an open data project, there is already tons of data available online in legacy formats that can be used. This data can be in the form of PDF reports either published by the agencies themselves or by third parties.

Gain trust: This raw data can be used to develop a proof of concept and can then be shared with the relevant agencies to get them excited. The proof of concept can also be handed over to the agencies to explore other possibilities.

Open data: Once these agencies see value in opening up the data and how it can be used to achieve their organisational goals, they will come on board and provide access to the required data. That is where the real magic happens!",It is always a pleasure to see so many like-minded people coming together to show the importance of open data and how can it be used to fight the biggest challenges being faced by the public sector across the globe. The sense of having a community working towards the same goal as yours is priceless.,"Source of Data: [https://wwfasia.awsassets.panda.org/downloads/btap_monitoring_report_phase_ii.pdf](https://wwfasia.awsassets.panda.org/downloads/btap_monitoring_report_phase_ii.pdf)

Map: [https://arcg.is/1jmbjm](https://arcg.is/1jmbjm)

Datasets: [https://www.kaggle.com/aliirz/billion-tree-tsunami](https://www.kaggle.com/aliirz/billion-tree-tsunami)

Code: [https://github.com/codeforpakistan/Open-Data-Day-2021](https://github.com/codeforpakistan/Open-Data-Day-2021) ",mapping-pakistan-s-billion-tree-tsunami,PKT,,APAC,Asia & The Pacific
Nepal,2021-03-06,National Security and Intelligence Data in Nepal: Expert perspectives on what should be open and classified?,https://twitter.com/NepalComms/status/1368200165874536448,"The discussion will unfold current situation of security and intelligence information available to the public in Nepal, a policy stocktaking and way forward to generating greater awareness about national security in the realm of open data discourses",https://shilapatra.com/detail/52869,,https://twitter.com/NepalComms/status/1368200165874536448,,False,27.681628,85.345258,,False,15,False,,Nepal Institute of Research and Communications (NIRC),Kathmandu,,,,,national-security-and-intelligence-data-in-nepal-expert-perspectives-on-what-sh,NPT,https://www.nepalcomms.org/announcements/,APAC,Asia & The Pacific
Lithuania,2021-03-06,Open Data Day 2021: hackathon,,To implement more transparency to funeral business in Lithuania,/events/2021/reports/open-data-day-2021-hackathon/,10:00,https://twitter.com/VilniusLegal/status/1367533956061609986,https://www.youtube.com/watch?v=RrL9LeYYVXw,True,54.67981,25.27769,Microsoft,True,25,True,https://www.eventbrite.com/e/atviru-duomenu-dienos-svente-tickets-144397174837,"Dr.Martynas Mockus, Vilnius Legal Hackers",Vilnius,We organised an [Open Data Day hackathon opening event](https://youtu.be/RrL9LeYYVXw) and we have created a Discord server for hackathon participants. The hackathon is expected to be held until 22nd of March. We have requests from Mykolas Romeris University to leave the Discord server for students to practice tasks related to open data.,"1. The hackathon did not attracted participants as expected. We have found, that people were interested (e.g. in FB 70 checked ""going""), but the opening ceremony was watched live only by ±20 people. At the moment the opening ceremony has been watched 120 times. However, those who filled the hackathon registration form was less than 10, and we had only one idea presented by participants. Still the hackathon is not closed, registration is open, and mentors are ready to provide assistance till 22nd of March.
2. The topic ""innovate the ""death sector"""" is not enough fancy for young people. However, it attracted the senior lawyer of Lithuanian Post (the first time in hackathon). 
3. There is not enough open data sources for innovations of cemetery care, data is not structured, not available. However, we have presented the idea based on DBPedia, how to create datasets by using crowdsourcing technologies.
4. We attracted four speakers to the opening ceremony of the hackathon: 
a) Eimantas Norkūnas - he is open data enthusiast, have developed 3 successful open data based projects and even one project influenced a ban of commercial fishery. Eimantas have shared his experience and explained what data is going to be opened by Ministry of Environment of the Republic of Lithuania. 
b) Ernesta Seiliūtė - she is legal design professional, explained how legal design could help to solve problems, especially by innovating ""death sector"". She presented valuable examples, and highlighted points, what to take in mind, when we create applications/services for users.
c) Dr Marius Laurinaitis  - presented how GDPR is used to block open data initiatives, discussed legal aspects of working/collecting of data. Presented that it is save to collect data of dead people, but we need not to forget the principle of Honour to the Dead.
d) Dr Martynas Mockus - presented how crowdsource technologies could be used to create open data sets, also presented problems in ""death sector"".",It is an opportunity to promote open data and engage people to open data related activities.,"We have developed discord server (in lithuanian) with the information needed to solve the hackathon issues. For joining the server, please send request to vilniuslh@gmail.com",open-data-day-2021-hackathon,EEST,https://www.facebook.com/legalhackersvilnius/,EMEA,"Europe, Middle East & Africa"
