event_date,event_name,event_photo_url,event_purpose,event_report_url,event_tweet_url,event_video_url,has_event_report,latitude,longitude,num_participants,online_event_url,organisers,place,slug,url,world_region_code,world_region_text
,Cambodia Open Data Day 2022,,"To raise awareness on the potential use of open data and the importance of availability, openness, dissemination and use of data and information in the digital age ",,,,False,11.556374,104.928207,30,,Open Development Cambodia,Phnom Penh,cambodia-open-data-day-2022,https://www.facebook.com/OpenDataCambodia,,
,Chattanooga Open Data Week,,We hope to increase awareness about open data and its uses. ,,,,False,35.045631,-85.309677,25,,Andrew Sevigny City of Chattanooga,"Chattanooga, TN",chattanooga-open-data-week,https://chattanooga.gov/innovation/odw,,
,Datathon 2022,,Conseguir la mayor participación posible en los seminarios de formación y en la competición,,,,False,38.43873,-0.5428,300,,"Dirección General  General de Transparencia, Atención a la Ciudadanía y Buen Gobierno, Universitat Politècnica de València, Universidad de Alicante, Universidad Miguel Hernández, ",Alicante,datathon-2022,https://www.ctranspa.webs.upv.es/datathon-2022/,,
,Datathon 2022 Valencia,,Esperamos conseguir la más amplia participación para la competición,,,,False,38.43873,-0.5428,300,,"Universidad de Alicante, Universitat Politècnica de València, Universitat de València, Universidad Miguel Hernández","Alicante, Valencia",datathon-2022-valencia,https://www.ctranspa.webs.upv.es/datathon-2022/,,
,Datenspaziergang Wien / Data walk Vienna,,We want to make Open Data visible.,,,,False,48.20872,16.38632,50,,City of Vienna ,Vienna,datenspaziergang-wien-data-walk-vienna,https://digitales.wien.gv.at/open-data-days-2022/,,
,Debatte über Datensouveränität,,"Dieses Jahr möchten wir gerne einladen zu einer Debatte über Datensouveränität:  Wie wird der Begriff zur Erreichung von Interessen eingesetzt? Wie erreicht man Datensouveränität? Wir freuen uns, mit Euch zusammenzukommen!",,,,False,51.256214,7.150764,30,,Offene Kommunen.NRW Institut e. V.,online,debatte-uber-datensouveranitat,https://oknrw.de/veranstaltungen/offene-kommunen-nrw-2022-opendataday/,,
,Dein Tag mit Daten,,Make people aware of existing open data. Develop data stories with participants,,,,False,49.00809,8.40376,30,,OK Lab Karlsruhe,Karlsruhe,dein-tag-mit-daten,https://ok-lab-karlsruhe.de/projekte/odd22/,,
,"Digital transformation, strategic management and open data",,,,,,False,54.687157,25.279652,300,,"Office of the Government of the Republic of Lithuania, The ministry of economy and innovation",Vilnius,digital-transformation-strategic-management-and-open-data,https://epilietis.lrv.lt/formos/registracija-i-diskusija-idejatona-skaitmenine-transformacija-strateginis-valdymas-ir-atviri-duomenys,,
,Donne in tour…Bo,,"Passeggiata per scattare foto con licenza libera, raccogliere le coordinate dei palazzi, dei luoghi e dei monumenti legati ad alcune figure femminili cittadine",,,,False,44.488803,11.3400776,30,,"gruppo dei wikimediani e OSMer bolognesi, in collaborazione con  Associazione Orlando, Open History Map e OpenStreetMap - gruppo dell'Emilia Romagna ",Bologna,donne-in-tour-bo,,,
,"Día de Datos Abiertos 2022 en Mérida, Yucatán.",,"Difundir el uso de los datos abiertos entre ciudadanía, instituciones públicas y sector privado.",,,,False,20.967779,-89.62426,30,,Laboratorio de Políticas para la Seguridad y el Desarrollo,"Mérida, Yucatán",dia-de-datos-abiertos-2022-en-merida-yucatan,https://seguridadydesarrollo.org/open-data-day,,
,Mapeando el barrio Nicolás de Federmán de Bogotá,,"To add details in the map, such as addresses or business, with the community while teaching OpenData",,,,False,4.646987,-74.082394,25,,"Andres Gomez, MaptimeBogota",Bogota,mapeando-el-barrio-nicolas-de-federman-de-bogota,https://www.meetup.com/maptime-bogota-colombia-osm/events/283295807/,,
,Mapping cycling infrastructure infrastructure in Denmark,,Focus on bicycling infrastructure and better OpenStreetMap data,,,,False,55.389431,10.408304,80,,Soren Johannessen,Remote event in Denmark,mapping-cycling-infrastructure-infrastructure-in-denmark,https://lists.openstreetmap.org/pipermail/talk-dk/2022-January/005698.html,,
,Mar de Datos,,"This year's objective is to analyze ocean data, especially data from the seas of our city, and how to use them for environmental action and the protection of the seas.",,,,False,-37.99697,-57.5491,70,,Escuela de Fiscales,Mar del Plata - Argentina,mar-de-datos,https://bit.ly/ODD2022mdq,,
,OPEN DATA DAY Let's create open data,,I want you to enjoy the data through the experience of turning familiar data into open data.,,,,False,35.423092,136.762756,20,,CODE for GIFU,"Gifu , Japan",open-data-day-let-s-create-open-data,https://www.facebook.com/events/307574151201364?locale=ja_JP,,
,Open Data Day Live Chat with U.S. Department of Education's Open Data team on March 4th,,Engage the public in a conversation on open data and join the international community in representing Education data for the 2022 International Open Data Day.,,,,False,38.88663,-77.02059,100,,"Shannon McCaulley, Office of the Chief Data Officer, U.S. Department of Education","Washington, D.C. ",open-data-day-live-chat-with-u-s-department-of-education-s-open-data-team-on-ma,https://www.linkedin.com/company/edocdo,,
,Open Data Day Paraguay,,Show the new projects related to Open Data and Transparency,,,,False,-25.298428,-57.581896,30,,Civilab,Asuncion,open-data-day-paraguay,https://civilab.org.py/,,
,Open Data Day Santos 2022 - Py013,,Data Exploration and Data Mapping,,,,False,-23.956289,-46.326462,25,,Py013,"Santos, SP - Brasil",open-data-day-santos-2022-py013,https://forms.gle/yc1Q2RRpmzh3R7zCA,,
,TQVcun Open Data Day 22,,that people know about open data and that we enter more community,,,,False,21.161907,-86.851524,51,,Tequila Valley cancún,Cancún,tqvcun-open-data-day-22,https://facebook.com/tqvcun,,
,День открытых данных 2022,,To update the open data agenda in Russia for 2022 and bring the community together,,,,False,55.755825,37.617298,300,,"АНО ""Инфокультура""",Moscow,den-otkrytykh-dannykh-2022,https://opendataday.ru/msk,,
