event_date,event_name,event_photo_url,event_purpose,event_report_url,event_tweet_url,event_video_url,has_event_report,latitude,longitude,online_event_url,organisers,place,slug,url,world_region_code,world_region_text
2025-03-06,"""Data at the Crossroads: Exposing polycrisis through migration issues""",,Highlight the importance of data in understanding the key drivers of migration and showcase projects where innovation has enabled collection and analysis of data around these issues and their solutions.,,,,False,14.59906311,-90.49998789,,"Diálogos Guatemala, Email: comunicacion@dialogos.org.gt",Guatemala City,data-at-the-crossroads-exposing-polycrisis-through-migration-issues,https://forms.gle/ZDqnEkESLoAhgZUc9,,
2025-03-07,#Halalan2025 Datathon,,,,,,False,14.676041,121.043701,,,Quezon City,halalan2025-datathon,,,
2025-03-04,#オープンデータスゴイ 可視化ハッカソン Round4 振り返り,,オープンデータの活用と整備をコミュニティドリブンで推進します！,,,,False,139.6917,35.6894,,VIZZIES (https://sites.google.com/view/opendatasugoi/),東京都（オンライン）,opundetasugoi-ke-shi-hua-hatukason-round4-zhen-rifan-ri,https://techplay.jp/event/973641,,
2025-03-01,2025 Winnipeg Open Data Datathon,,Learn to use the City of Winnipeg Open Data Portal.,,,,False,49.895138,-97.138374,,Winnipeg Open Data Meet-Up Group,Winnipeg,2025-winnipeg-open-data-datathon,https://www.meetup.com/winnipeg-open-data-meet-up-group/events/305884765/,,
2025-03-15,[TM] Open Data Day 2025,,,,,,False,45.748871,21.208679,,contact@opendataday.ro,"Timisoara, Romania",tm-open-data-day-2025,https://tm.opendataday.ro,,
2025-03-02,ABOUDOU ALI Faoziath,,"The objective of this event is to reveal and celebrate the skills of web professionals in Parakou, by highlighting their talent and their contribution to the digital development of the region.",,,,False,9.343099,2.62575,,,PARAKOU,aboudou-ali-faoziath,https://www.linkedin.com/posts/faoziath-aboudou-ali_bonsoir-%C3%A0-tous-nous-voila-dans-le-mois-de-activity-7170731228428509184-vmZZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEK_OkMBVRjJYAQM87ypP6JH2O8-S-MzJNs,,
2025-02-21,Azad-on on ODD,,عدالت اجتماعی، داده‌های آزاد، اهداف و راهکارها,,,,False,35.699434,51.338097,,Azad-on (Mostafa Ahangarha),Tehran (or online),azad-on-on-odd,https://azad-on.com,,
2025-03-04,Bogotá se mueve por la Transparencia,,"es el lanzamiento del portal ""Datos por la transparencia”, un sitio web que reúne los visores y tableros producidos por diferentes entidades del Distrito para promover la consulta pública y el control social.

En este espacio te mostraremos cómo navegar en el nuevo portal y exploraremos con expertos(as) la apuesta estratégica de Datos para la Transparencia en el empoderamiento ciudadano y en la transformación digital del Distrito.",,,,False,4.598206,-74.072703,,Secretaria General de la Alcaldía Mayor de Bogotá correo: comunigab@alcaldiabogota.gov.co,"Bogota D.C, Colombia ",bogota-se-mueve-por-la-transparencia,,,
2025-03-04,BOGOTÁ SE MUEVE POR LA TRANSPARENCIA: LANZAMIENTO DEL PORTAL DATOS PARA LA TRANSPARENCIA ,,"El lanzamiento del portal ""Datos por la transparencia”, un sitio web que reúne los visores y tableros producidos por diferentes entidades del Distrito para promover la consulta pública y el control social.

En este espacio te mostraremos cómo navegar en el nuevo portal y exploraremos con expertos(as) la apuesta estratégica de Datos para la Transparencia en el empoderamiento ciudadano y en la transformación digital del Distrito.",,,,False,4.598096,-74.0727,,Secretaria General de la Alcaldía Mayor de Bogotá en colaboración con la Red de Observatorios del Distrito de Bogotá ,Bogotá D.C Localidad la Candelaria ,bogota-se-mueve-por-la-transparencia-lanzamiento-del-portal-datos-para-la-trans,,,
2025-03-07,Build With AI Workshop 2025,,"This Build with AI event will feature many technical workshops and is aimed to help developers learn and apply their skills on GenAI trends and products, and make them employable. ",,,,False,6.32744,8.10636,,"Google Developer Group Abakaliki, Community leader - Victor Ekeghe Mba (+2349138636493) (Victorekesnr@gmail.com). Event assistant: Adaeze Lucy Daniel (+2349013870845) (Adalucydaniel@gmail.com). ","Abakaliki, Ebonyi State, Nigeria. ",build-with-ai-workshop-2025,https://gdg.community.dev/e/m5gdaq/,,
2025-03-01,Building Local Developer Capacity in Open Data and Air Quality Monitoring in Kinshasa.,,"To equip 20 local developers with the skills to leverage open data for air quality monitoring in Kinshasa, fostering data-driven solutions for environmental challenges and informed policy-making.",,,,False,-4.321529,15.311853,,OKFN Regional Coordination for Francophone Africa,Kinshasa,building-local-developer-capacity-in-open-data-and-air-quality-monitoring-in-kin,,,
2025-03-04,Celebrating International Open Data Day 2025,,"In introduction to finding, using, and creating open data in a Scottish context ",,,,False,57.151007,-2.099087,,Code The City,"Aberdeen, UK",celebrating-international-open-data-day-2025,https://ti.to/code-the-city/adm-mar-2025,,
2025-03-05,Conference on datas collection ,,Getting more knowledges to a'data collections and learning our to uploaded it ,,,,False,-2.50316,28.85309,,Crispin Ngakani ,"Bukavu, Democratic Republic of Congo ",conference-on-datas-collection,,,
2025-03-01,Contra Costa County Open Government Day,,"Extract, collect, analyze, and visualize local government data for cities and districts across Contra Costa County.",,,,False,37.8937797,-122.0626805,,Contra Costa Taxpayers Association,"Walnut Creek, CA, USA",contra-costa-county-open-government-day,https://cocotax.org/event-5980148,,
2025-03-07,Critical Data for Change : Ghana 2025,,"To promote open-source and open-data collection in Ghana on critical issues like soil pollution from illegal mining (galamsey) and children's disabilities, while fostering partnerships for data reuse and funding.",,,,False,5.57742,-0.232548,,d-Node,Accra,critical-data-for-change-ghana-2025,https://d-node.com,,
2025-03-07,Datathon: DEI in the Public Sphere,,"Participants will collaboratively define, measure, and evaluate DEI in the public sphere.",,,,False,37.54792358,127.0441614,,Parti Co-op,Seoul,datathon-dei-in-the-public-sphere,https://pass.campaigns.do/posts/rDtvY5X,,
2025-03-06,Datenlehrpfad im Rahmen der Open Data Days Wien 2025,,"Am 6. März richtet die Stadt Wien den Open Data-Lehrpfad aus. Diese Initiative zielt darauf ab, „Veränderungen in der Stadt mit Hilfe von Daten“ aufzuzeigen. Der Lehrpfad endet auch 2025 mit einem Besuch im Parlament, wo Expert:innen der Parlamentsdirektion und der Universität Wien Einblicke in das erweiterte Open Data-Angebot des Parlaments geben.
Den Abschluss der Veranstaltung bildet eine Führung durch das historische Gebäude mit besonderem Fokus auf die Parlamentsdaten.",,,,False,48.208176,16.373819,,FH Technikum Wien,Wien,datenlehrpfad-im-rahmen-der-open-data-days-wien-2025,https://www.technikum-wien.at/events/open-data-expo-2025/,,
2025-02-06,Datos Abiertos para enfrentar la Policrisis,,Promover el uso de datos abiertos en la comunidad estudiantil de la Licenciatura en Estadística e Ingeniería en Ciencia de Datos y en otras disciplinas,,,,False,19.527281,-96.9235,,"Facultad de Estadística e Informática, Universidad Veracruzana - Lorena López Lozada - lorlopez@uv.mx","Xalapa, Veracruz, México",datos-abiertos-para-enfrentar-la-policrisis,https://www.uv.mx/linae/datosa2025/,,
2025-03-05,Datos y bielas: 15va edición especial Open Data Day “Datos abiertos para afrontar la policrisis”,,"En esta 15ª Edición, nos enfocamos en datos abiertos para afrontar la policrisis desde dos enfoques: el riesgo climático y la crisis democrática. El primero abarca crisis globales como el cambio climático, la inflación, la polarización política y social, y las tensiones geoeconómicas. El segundo enfoque considera grandes cambios ocurridos durante el 2024 "" el año de las elecciones"", destacando el cambio en la política de varios países y el aumento de gobiernos autoritarios y negacionistas, lo que ha exacerbado la crisis política mundial.",,,,False,-0.199479,-78.488112,,Fundación Datalat y Fundación Openlab,Quito,datos-y-bielas-15va-edicion-especial-open-data-day-datos-abiertos-para-afronta,,,
2025-03-22,Dia dos Dados Abertos - Maceió 2025,,"1. Estimular diversas redes em Alagoas a discutir sobre dados abertos; 2. Estreitar os laços entre potenciais estudantes, pesquisadores e profissionais da área de dados abertos; 3. Desenvolver coletivamente eventos permanentes sobre o tema.",,,,False,9.66522,35.73571,,LabHacker - Laboratório Brasileiro de Cultura Digital,Maceió,dia-dos-dados-abertos-maceio-2025,,,
